,Dist(nm),FES(kcal/mol),Derivatives,Replica name,Fit FES(kcal/mol)
0,1.25343,-4e-09,-0.001367906,replica13,0.2990595249467625
1,1.271046753,-0.000147184,-0.01728778,replica13,0.29634975394199753
2,1.288663506,-0.001138581,-0.10799774,replica13,0.24191636098449182
3,1.30628026,-0.005001464,-0.370397447,replica13,0.12973198785133008
4,1.323897013,-0.01682943,-1.075184618,replica13,-0.044482238427286935
5,1.341513766,-0.048772625,-2.757868402,replica13,-0.28304912954902106
6,1.359130519,-0.122858317,-5.980662879,replica13,-0.5862330465395077
7,1.376747273,-0.273561043,-11.603105755,replica13,-0.9522471090493904
8,1.394364026,-0.549759685,-20.279348592,replica13,-1.377367710868947
9,1.411980779,-1.006362768,-32.018249093,replica13,-1.8561476881357601
10,1.429597532,-1.688406647,-45.526556144,replica13,-2.3817138759898215
11,1.447214286,-2.605354142,-58.125086238,replica13,-2.9461302690984468
12,1.464831039,-3.709533244,-66.160132028,replica13,-3.5408048231459888
13,1.482447792,-4.890015959,-66.37268452,replica13,-4.156916246758139
14,1.500064545,-5.993991037,-57.497832346,replica13,-4.78583697581333
15,1.517681299,-6.872751148,-41.353478923,replica13,-5.419529826738264
16,1.535298052,-7.433280798,-22.228953231,replica13,-6.050898426729025
17,1.552914805,-7.670151224,-5.468408167,replica13,-6.674075170614099
18,1.570531558,-7.667250879,4.365295109,replica13,-7.284634851283055
19,1.588148312,-7.570829284,5.000925137,replica13,-7.879726915062005
20,1.605765065,-7.542749769,-3.061072511,replica13,-8.458124160679334
21,1.623381818,-7.713134777,-16.912611037,replica13,-9.020190305959563
22,1.640998571,-8.148265062,-32.414389783,replica13,-9.567772908738682
23,1.658615325,-8.83971156,-45.407801728,replica13,-10.104031428323463
24,1.676232078,-9.718777522,-53.487946861,replica13,-10.633212606609128
25,1.693848831,-10.693875477,-56.427284467,replica13,-11.160386770297322
26,1.711465584,-11.685354152,-55.670128386,replica13,-11.69115912441883
27,1.729082338,-12.644777332,-53.041910629,replica13,-12.231369712425971
28,1.746699091,-13.54873618,-49.386234713,replica13,-12.78679460916644
29,1.764315844,-14.375910918,-44.179057547,replica13,-13.362859282024854
30,1.781932597,-15.090360296,-36.501792732,replica13,-13.964373116263884
31,1.799549351,-15.649443529,-26.745421192,replica13,-14.59529206757198
32,1.817166104,-16.034103281,-17.26055378,replica13,-15.258514472801327
33,1.834782857,-16.281747325,-11.898171449,replica13,-15.955713376374337
34,1.85239961,-16.496742667,-13.926603443,replica13,-16.687207421802672
35,1.870016364,-16.820128753,-23.968507265,replica13,-17.451871463650107
36,1.887633117,-17.370965721,-39.004395707,replica13,-18.24708756307683
37,1.90524987,-18.194292197,-54.008511557,replica13,-19.068736871529772
38,1.922866623,-19.245699473,-64.324529641,replica13,-19.911232967379398
39,1.940483377,-20.420062102,-67.907702591,replica13,-20.767597342524674
40,1.95810013,-21.603679284,-65.703133198,replica13,-21.629577779163746
41,1.975716883,-22.71648113,-60.357000423,replica13,-22.487810155297016
42,1.993333636,-23.724422702,-54.052502221,replica13,-23.332023639879356
43,2.01095039,-24.61836386,-47.342694339,replica13,-24.15128819546466
44,2.028567143,-25.387142849,-39.769159907,replica13,-24.934301763652325
45,2.046183896,-26.012757366,-31.093956383,replica13,-25.669712496434393
46,2.063800649,-26.480682805,-22.110955084,replica13,-26.346469010676145
47,2.081417403,-26.802182868,-14.859460094,replica13,-26.95418904162963
48,2.099034156,-27.028205721,-11.608376142,replica13,-27.483534264482923
49,2.116650909,-27.240683122,-13.348438951,replica13,-27.926576685997922
50,2.134267662,-27.524794399,-19.44456292,replica13,-28.27714014180736
51,2.151884416,-27.933857014,-26.909917312,replica13,-28.531099321038297
52,2.169501169,-28.456502965,-31.595060928,replica13,-28.68661859799772
53,2.187117922,-29.008480161,-29.80143388,replica13,-28.744313944261048
54,2.204734675,-29.457224419,-19.799320943,replica13,-28.707323411547083
55,2.222351429,-29.663051349,-2.564018212,replica13,-28.581275113797606
56,2.239968182,-29.52601898,18.33266528,replica13,-28.374146195094024
57,2.257584935,-29.02616939,37.727935158,replica13,-28.096011748946967
58,2.275201688,-28.233948892,50.79221254,replica13,-27.758688763741826
59,2.292818442,-27.290853091,54.605594938,replica13,-27.375286543262927
60,2.310435195,-26.364151414,49.150540676,replica13,-26.959681272522925
61,2.328051948,-25.598536914,36.997160726,replica13,-26.525938025998467
62,2.345668701,-25.07301847,22.683881668,replica13,-26.08770811442226
63,2.363285455,-24.785813184,10.63767068,replica13,-25.65763284562167
64,2.380902208,-24.667709901,3.730502241,replica13,-25.24678621623937
65,2.398518961,-24.621094322,2.406024785,replica13,-24.864188538076835
66,2.416135714,-24.559459203,5.040572817,replica13,-24.5164204427723
67,2.433752468,-24.435400953,9.089804774,replica13,-24.207362146964403
68,2.451369221,-24.243878734,12.462514043,replica13,-23.93807648470772
69,2.468985974,-24.007015346,14.129213108,replica13,-23.706846348789547
70,2.486602727,-23.757761458,13.866226638,replica13,-23.509368272008647
71,2.504219481,-23.529293007,11.798342305,replica13,-23.33909446209035
72,2.521836234,-23.350189632,8.395255514,replica13,-23.187706279075833
73,2.539452987,-23.23523469,4.73976806,replica13,-23.045693532164687
74,2.55706974,-23.173471197,2.736721975,replica13,-22.903006672910568
75,2.574686494,-23.116321522,4.472385631,replica13,-22.749743507669677
76,2.592303247,-22.991475788,10.306833283,replica13,-22.576828874199276
77,2.60992,-22.738179024,18.621363204,replica13,-22.37664511691163
78,2.627536753,-22.338335572,26.403809981,replica13,-22.143573280508207
79,2.645153506,-21.827090839,30.972257307,replica13,-21.874409672353273
80,2.66277026,-21.272009187,31.38341999,replica13,-21.56862958910244
81,2.680387013,-20.739334625,28.772067936,replica13,-21.228479161344914
82,2.698003766,-20.264061519,25.163126745,replica13,-20.858886891797415
83,2.715620519,-19.851932854,21.698078281,replica13,-20.467197883713677
84,2.733237273,-19.500120115,18.164716173,replica13,-20.062745240235934
85,2.750854026,-19.216688584,13.872434528,replica13,-19.65628390241365
86,2.768470779,-19.01480614,9.076266391,replica13,-19.259321551477502
87,2.786087532,-18.890374668,5.405913224,replica13,-18.88338847641535
88,2.803704286,-18.806807258,4.699389202,replica13,-18.5392929731061
89,2.821321039,-18.704182911,7.454616651,replica13,-18.23641053279047
90,2.838937792,-18.533588347,11.959416761,replica13,-17.98205362492205
91,2.856554545,-18.289169452,15.380475818,replica13,-17.780964320441665
92,2.874171299,-18.011019738,15.573106315,replica13,-17.63496458440737
93,2.891788052,-17.761235917,12.290040999,replica13,-17.542789237100997
94,2.909404805,-17.588311287,7.23804756,replica13,-17.500114956119184
95,2.927021558,-17.504654029,2.419021673,replica13,-17.499786015908587
96,2.944638312,-17.494244511,-0.953321085,replica13,-17.532224565802625
97,2.962255065,-17.527501798,-2.507662863,replica13,-17.58600099039278
98,2.979871818,-17.573935531,-2.5696036,replica13,-17.648529103978177
99,2.997488571,-17.612310786,-1.647687772,replica13,-17.706842343478765
100,3.015105325,-17.628648405,-0.14211187,replica13,-17.74840134220255
101,3.032722078,-17.614921116,1.74945862,replica13,-17.761880709150404
102,3.050338831,-17.564756111,4.003221615,replica13,-17.737883711539173
103,3.067955584,-17.470842593,6.712654805,replica13,-17.669537839235474
104,3.085572338,-17.328259469,9.41722491,replica13,-17.552931665999566
105,3.103189091,-17.144596435,11.205407507,replica13,-17.387363545640422
106,3.120805844,-16.944820439,11.093000777,replica13,-17.17538483751103
107,3.138422597,-16.765640407,9.010139005,replica13,-16.92263374843224
108,3.156039351,-16.629587091,6.577950393,replica13,-16.637469620374038
109,3.173656104,-16.520393098,6.376162493,replica13,-16.33043066792996
110,3.191272857,-16.380803172,10.18286875,replica13,-16.013549891510394
111,3.20888961,-16.141569433,17.31363301,replica13,-15.699573368254528
112,3.226506364,-15.771561682,24.299453348,replica13,-15.40113170680911
113,3.244123117,-15.309814,27.131884628,replica13,-15.129918689960471
114,3.26173987,-14.852651185,23.716390704,replica13,-14.895930789983542
115,3.279356623,-14.504796159,15.196652574,replica13,-14.706817335374094
116,3.296973377,-14.324816409,5.384013042,replica13,-14.567383885187976
117,3.31459013,-14.300243007,-1.916551347,replica13,-14.479281304175114
